iter	Passed	Remaining
0	56	55967
1	56	28251
2	57	18983
3	57	14334
4	58	11565
5	58	9708
6	59	8384
7	59	7382
8	60	6627
9	60	6008
10	61	5510
11	61	5087
12	62	4726
13	62	4423
14	63	4153
15	63	3921
16	64	3715
17	64	3528
18	65	3362
19	65	3217
20	66	3091
21	66	2967
22	67	2857
23	67	2752
24	68	2656
25	68	2567
26	69	2489
27	69	2411
28	69	2339
29	70	2274
30	70	2214
31	71	2160
32	71	2107
33	72	2058
34	72	2011
35	73	1969
36	74	1933
37	75	1915
38	76	1876
39	76	1839
40	77	1822
41	78	1787
42	81	1811
43	82	1789
44	83	1775
45	84	1745
46	90	1828
47	90	1802
48	96	1868
49	96	1840
50	97	1812
51	97	1785
52	98	1760
53	99	1735
54	99	1710
55	100	1687
56	100	1664
57	101	1642
58	102	1627
59	102	1607
60	103	1588
61	103	1568
62	104	1550
63	104	1532
64	105	1518
65	149	2119
66	150	2095
67	151	2070
68	151	2046
69	152	2021
70	152	1999
71	153	1978
72	154	1956
73	154	1935
74	155	1913
75	155	1892
76	156	1873
77	156	1855
78	157	1837
79	158	1821
80	159	1804
81	159	1786
82	159	1766
83	160	1749
84	161	1734
85	161	1720
86	162	1706
87	163	1691
88	163	1677
89	164	1663
90	165	1649
91	165	1635
92	166	1622
93	167	1610
94	167	1596
95	168	1585
96	168	1573
97	169	1560
98	170	1547
99	170	1536
100	171	1525
101	172	1515
102	172	1504
103	173	1494
104	174	1484
105	174	1473
106	175	1463
107	175	1453
108	176	1443
109	177	1434
110	177	1425
111	178	1416
112	179	1406
113	180	1399
114	180	1390
115	181	1380
116	181	1369
117	181	1360
118	182	1350
119	183	1342
120	183	1333
121	183	1323
122	184	1315
123	185	1307
124	185	1298
125	185	1290
126	186	1281
127	186	1273
128	187	1265
129	187	1257
130	188	1249
131	188	1242
132	189	1234
133	189	1227
134	190	1220
135	191	1214
136	191	1207
137	192	1200
138	192	1194
139	193	1187
140	193	1181
141	194	1174
142	194	1167
143	195	1160
144	195	1154
145	196	1148
146	196	1142
147	197	1135
148	197	1129
149	198	1123
150	198	1117
151	199	1111
152	199	1106
153	200	1100
154	200	1094
155	201	1088
156	201	1082
157	202	1077
158	202	1071
159	203	1066
160	203	1060
161	203	1055
162	204	1050
163	205	1045
164	205	1039
165	206	1035
166	206	1030
167	207	1025
168	207	1021
169	208	1016
170	208	1011
171	209	1006
172	209	1002
173	210	997
174	210	992
175	211	988
176	211	983
177	212	979
178	212	974
179	212	970
180	213	966
181	213	961
182	214	957
183	215	953
184	215	949
185	216	945
186	216	941
187	217	938
188	217	934
189	218	930
190	218	926
191	219	923
192	219	919
193	220	915
194	220	911
195	221	908
196	221	904
197	222	900
198	222	896
199	223	892
200	223	889
201	224	885
202	224	881
203	225	878
204	225	874
205	225	870
206	226	867
207	226	864
208	227	860
209	227	857
210	228	853
211	228	850
212	229	847
213	229	844
214	230	841
215	230	838
216	231	834
217	231	831
218	232	828
219	232	824
220	233	821
221	233	819
222	234	816
223	234	812
224	235	809
225	235	805
226	235	803
227	236	799
228	236	796
229	236	793
230	237	790
231	237	787
232	238	783
233	238	780
234	238	777
235	239	774
236	239	771
237	239	768
238	240	765
239	240	762
240	241	759
241	241	756
242	241	753
243	242	750
244	242	747
245	243	745
246	243	742
247	243	739
248	244	736
249	244	733
250	244	730
251	245	728
252	245	725
253	246	723
254	246	721
255	247	718
256	247	716
257	248	713
258	248	711
259	249	709
260	249	706
261	249	703
262	250	701
263	251	699
264	251	697
265	251	694
266	252	692
267	252	689
268	252	687
269	253	684
270	253	682
271	253	679
272	254	677
273	254	675
274	255	673
275	255	671
276	256	668
277	256	666
278	256	664
279	257	661
280	257	659
281	258	657
282	258	654
283	258	652
284	259	650
285	259	648
286	260	646
287	260	643
288	260	641
289	261	639
290	261	637
291	262	635
292	262	633
293	262	631
294	263	628
295	263	626
296	263	624
297	264	622
298	264	620
299	265	618
300	265	616
301	265	614
302	266	611
303	266	609
304	266	607
305	267	605
306	267	603
307	267	602
308	268	600
309	268	598
310	269	596
311	269	594
312	269	592
313	270	590
314	270	588
315	270	586
316	271	584
317	271	582
318	272	580
319	272	578
320	272	576
321	273	575
322	273	573
323	273	571
324	274	569
325	274	567
326	274	565
327	275	564
328	275	562
329	276	560
330	276	558
331	276	556
332	276	554
333	277	552
334	277	551
335	277	549
336	278	547
337	278	545
338	279	544
339	279	542
340	279	540
341	280	538
342	280	537
343	280	535
344	281	534
345	281	532
346	282	530
347	282	529
348	282	527
349	283	525
350	283	524
351	283	522
352	284	521
353	284	519
354	285	518
355	285	516
356	286	515
357	286	514
358	287	512
359	287	510
360	287	509
361	288	507
362	288	506
363	289	504
364	289	503
365	289	501
366	290	500
367	290	498
368	290	497
369	291	496
370	291	494
371	292	493
372	292	491
373	293	490
374	293	489
375	294	488
376	294	486
377	294	485
378	295	484
379	295	482
380	296	481
381	296	479
382	297	478
383	297	477
384	297	475
385	298	474
386	298	473
387	299	472
388	299	470
389	300	469
390	301	468
391	301	467
392	301	466
393	302	464
394	302	463
395	303	462
396	303	461
397	304	460
398	304	459
399	305	458
400	306	457
401	306	456
402	307	454
403	307	453
404	307	452
405	308	451
406	309	450
407	309	449
408	309	447
409	310	446
410	310	445
411	311	444
412	312	443
413	312	442
414	313	441
415	313	440
416	314	439
417	314	438
418	315	437
419	315	436
420	324	446
421	325	445
422	325	444
423	326	443
424	326	442
425	327	440
426	327	439
427	328	438
428	328	437
429	329	436
430	329	434
431	329	433
432	330	432
433	330	431
434	331	430
435	331	428
436	331	427
437	332	426
438	332	425
439	333	423
440	333	422
441	334	421
442	334	420
443	335	419
444	335	418
445	336	417
446	336	416
447	336	415
448	337	414
449	337	412
450	338	411
451	338	410
452	339	409
453	339	408
454	340	407
455	340	406
456	341	405
457	341	404
458	342	403
459	342	402
460	343	401
461	343	400
462	344	399
463	344	398
464	345	396
465	345	395
466	346	395
467	346	393
468	346	392
469	347	391
470	347	390
471	348	389
472	348	388
473	349	387
474	349	386
475	350	385
476	350	384
477	351	383
478	351	382
479	351	381
480	352	380
481	352	379
482	353	378
483	353	377
484	354	376
485	355	375
486	355	374
487	356	373
488	356	372
489	356	371
490	357	370
491	357	369
492	358	368
493	358	367
494	359	366
495	359	365
496	359	364
497	360	363
498	360	362
499	361	361
500	361	360
501	362	359
502	362	358
503	363	357
504	363	356
505	364	355
506	364	354
507	365	354
508	366	353
509	367	352
510	367	351
511	368	350
512	368	349
513	369	349
514	369	348
515	370	347
516	370	346
517	370	345
518	371	344
519	372	343
520	372	342
521	373	341
522	373	340
523	374	339
524	374	338
525	375	338
526	376	337
527	376	336
528	377	335
529	377	335
530	378	334
531	378	333
532	379	332
533	379	331
534	380	330
535	380	329
536	380	328
537	381	327
538	381	326
539	382	325
540	382	324
541	383	323
542	383	323
543	384	322
544	384	321
545	385	320
546	385	319
547	386	318
548	386	317
549	387	316
550	387	315
551	387	314
552	388	313
553	388	312
554	388	311
555	389	310
556	389	310
557	390	309
558	390	308
559	391	307
560	391	306
561	392	305
562	392	304
563	392	303
564	393	302
565	393	301
566	394	301
567	394	300
568	395	299
569	395	298
570	396	297
571	396	296
572	396	295
573	397	294
574	398	294
575	398	293
576	398	292
577	399	291
578	399	290
579	400	289
580	400	288
581	401	288
582	401	287
583	402	286
584	402	285
585	402	284
586	403	283
587	403	283
588	404	282
589	404	281
590	405	280
591	405	279
592	406	278
593	406	278
594	407	277
595	407	276
596	408	275
597	408	274
598	408	273
599	409	273
600	410	272
601	410	271
602	411	270
603	411	269
604	411	268
605	412	268
606	412	267
607	413	266
608	413	265
609	414	264
610	414	263
611	414	263
612	415	262
613	415	261
614	416	260
615	416	259
616	417	258
617	417	258
618	418	257
619	418	256
620	418	255
621	419	254
622	419	253
623	419	253
624	420	252
625	420	251
626	421	250
627	421	249
628	421	248
629	422	248
630	422	247
631	423	246
632	423	245
633	424	244
634	424	244
635	425	243
636	425	242
637	426	242
638	427	241
639	427	240
640	427	239
641	428	238
642	428	237
643	429	237
644	429	236
645	429	235
646	430	234
647	430	233
648	431	233
649	431	232
650	431	231
651	432	230
652	432	229
653	433	229
654	433	228
655	433	227
656	434	226
657	434	225
658	434	225
659	435	224
660	436	223
661	436	222
662	437	222
663	437	221
664	438	220
665	438	220
666	439	219
667	439	218
668	440	217
669	440	216
670	440	216
671	441	215
672	441	214
673	442	213
674	442	213
675	443	212
676	443	211
677	444	210
678	444	210
679	444	209
680	445	208
681	445	207
682	446	207
683	446	206
684	447	205
685	447	204
686	448	204
687	448	203
688	449	202
689	449	202
690	450	201
691	450	200
692	450	199
693	451	199
694	451	198
695	452	197
696	452	196
697	452	195
698	453	195
699	453	194
700	454	193
701	454	192
702	454	192
703	455	191
704	455	190
705	456	189
706	456	189
707	456	188
708	457	187
709	457	186
710	457	186
711	458	185
712	458	184
713	459	183
714	459	183
715	460	182
716	460	181
717	460	181
718	461	180
719	461	179
720	462	178
721	462	178
722	462	177
723	463	176
724	463	175
725	464	175
726	464	174
727	464	173
728	465	172
729	465	172
730	465	171
731	466	170
732	466	170
733	467	169
734	467	168
735	468	167
736	468	167
737	468	166
738	469	165
739	469	165
740	470	164
741	470	163
742	470	162
743	471	162
744	471	161
745	472	160
746	472	160
747	472	159
748	473	158
749	473	157
750	474	157
751	474	156
752	475	155
753	475	155
754	475	154
755	476	153
756	476	153
757	477	152
758	477	151
759	477	150
760	478	150
761	478	149
762	478	148
763	479	148
764	479	147
765	480	146
766	480	145
767	480	145
768	481	144
769	481	143
770	481	143
771	482	142
772	482	141
773	483	141
774	483	140
775	483	139
776	484	138
777	484	138
778	485	137
779	485	137
780	486	136
781	486	135
782	487	134
783	487	134
784	487	133
785	488	132
786	488	132
787	489	131
788	489	130
789	490	130
790	490	129
791	491	128
792	491	128
793	492	127
794	492	126
795	492	126
796	493	125
797	493	124
798	494	124
799	494	123
800	495	123
801	495	122
802	495	121
803	496	121
804	496	120
805	497	119
806	497	119
807	498	118
808	498	117
809	499	117
810	499	116
811	500	115
812	500	115
813	501	114
814	501	113
815	502	113
816	502	112
817	503	111
818	503	111
819	504	110
820	504	110
821	505	109
822	505	108
823	505	108
824	506	107
825	507	106
826	507	106
827	508	105
828	508	104
829	509	104
830	509	103
831	510	102
832	510	102
833	511	101
834	511	101
835	512	100
836	512	99
837	513	99
838	514	98
839	514	98
840	515	97
841	515	96
842	516	96
843	516	95
844	517	94
845	517	94
846	518	93
847	518	92
848	519	92
849	519	91
850	520	91
851	520	90
852	521	89
853	521	89
854	522	88
855	522	87
856	523	87
857	523	86
858	523	86
859	524	85
860	524	84
861	525	84
862	526	83
863	526	82
864	527	82
865	528	81
866	528	81
867	529	80
868	529	79
869	530	79
870	530	78
871	531	77
872	531	77
873	532	76
874	532	76
875	533	75
876	533	74
877	534	74
878	534	73
879	535	72
880	535	72
881	535	71
882	536	71
883	536	70
884	537	69
885	537	69
886	538	68
887	538	67
888	539	67
889	539	66
890	540	66
891	540	65
892	541	64
893	541	64
894	542	63
895	542	63
896	543	62
897	543	61
898	544	61
899	544	60
900	545	59
901	545	59
902	546	58
903	546	58
904	547	57
905	547	56
906	548	56
907	548	55
908	549	54
909	549	54
910	550	53
911	550	53
912	551	52
913	551	51
914	552	51
915	552	50
916	553	50
917	553	49
918	554	48
919	554	48
920	555	47
921	555	47
922	556	46
923	556	45
924	556	45
925	557	44
926	557	43
927	558	43
928	558	42
929	559	42
930	559	41
931	560	40
932	560	40
933	560	39
934	561	39
935	561	38
936	562	37
937	562	37
938	562	36
939	563	35
940	563	35
941	564	34
942	564	34
943	565	33
944	565	32
945	565	32
946	566	31
947	566	31
948	566	30
949	567	29
950	567	29
951	567	28
952	568	28
953	568	27
954	569	26
955	569	26
956	570	25
957	570	25
958	570	24
959	571	23
960	572	23
961	572	22
962	572	22
963	573	21
964	573	20
965	574	20
966	574	19
967	574	19
968	575	18
969	575	17
970	575	17
971	576	16
972	576	16
973	577	15
974	577	14
975	577	14
976	578	13
977	578	13
978	578	12
979	579	11
980	579	11
981	579	10
982	580	10
983	580	9
984	580	8
985	581	8
986	581	7
987	582	7
988	582	6
989	582	5
990	583	5
991	583	4
992	583	4
993	584	3
994	584	2
995	585	2
996	585	1
997	585	1
998	586	0
999	586	0
