iter	Passed	Remaining
0	0	53
1	1	65
2	1	56
3	2	50
4	2	47
5	2	45
6	3	43
7	3	42
8	4	40
9	5	47
10	5	46
11	6	45
12	6	44
13	7	47
14	8	47
15	8	46
16	9	45
17	9	44
18	10	43
19	10	42
20	11	41
21	11	40
22	11	40
23	12	39
24	13	40
25	14	41
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	37
33	18	36
34	19	36
35	20	35
36	20	35
37	21	34
38	21	34
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	25	30
45	25	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	30	27
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	33	24
58	34	23
59	34	23
60	35	22
61	35	22
62	36	21
63	37	20
64	38	20
65	38	19
66	39	19
67	39	18
68	40	18
69	40	17
70	41	16
71	42	16
72	42	15
73	43	15
74	43	14
75	44	14
76	45	13
77	45	12
78	46	12
79	46	11
80	47	11
81	47	10
82	48	9
83	49	9
84	50	8
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	55	3
94	56	2
95	56	2
96	57	1
97	58	1
98	58	0
99	59	0
